Flyby,I/O,Date ET,ALT (km),v∞ (km/s),v (km/s),LST (deg),LAT (deg),LON,SEP (deg),PHS (deg),TRA (deg),INC (deg),PER (days),n,m,dTID (krad),TID (mrad),dΔV (m/s),ΔV (m/s),dTOF (days),TOF (days),SJB (deg),κ⁻ (deg),κ⁺ (deg),α⁻ (deg),α⁺ (deg),RP (R_J),RA (R_J),ECLIP (h),ETRA (deg),SIIILON (deg)
33E26,O,21-May-2027 15:19:36,1932,3.77,4.0,04:46,-27,343,79,106,10,0.32,13.51,4.53,1.35,53.7,1.33,0,122,16.1,879.1,87.9,-172.7,175.5,13.2,19.4,9.2,36.6,4.2,27,232
34C01,O,06-June-2027 18:09:15,135,4.84,5.4,18:57,17,72,65,104,129,2.24,18.86,0.92,0.52,64.83,1.39,0,122,15.4,895.2,213.2,179.9,-176.3,115.2,103.4,12.6,44.5,0.0,-127,8
35G05,I,22-June-2027 03:54:43,1302,4.71,5.2,19:30,32,252,53,109,-64,0.19,12.94,3.30,1.82,1.51,1.39,0,122,23.6,910.6,38.2,5.8,-0.8,71.0,80.8,11.6,32.8,3.3,6,102
37C02,I,15-July-2027 19:18:47,25,3.62,4.4,05:08,2,106,35,103,-120,0.27,20.32,1.56,1.56,44.59,1.44,0,122,25.9,934.3,331.6,0.6,0.0,115.7,94.6,16.9,43.2,4.9,-99,336
38C03,O,10-Aug.-2027 17:09:18,1614,3.61,4.1,04:32,0,260,15,112,114,0.27,14.89,2.30,2.30,5.06,1.44,0,122,38.4,960.2,169.9,180.0,180.0,94.6,108.4,13.4,35.5,5.4,26,301
41C04,I,18-Sept.-2027 03:33:46,1633,3.62,4.1,01:05,0,102,13,164,-114,0.27,20.35,1.56,1.56,22.86,1.46,0,122,25.9,998.6,274.6,0.0,0.0,108.3,94.6,16.9,43.2,3.5,-10,71
42C05,O,14-Oct.-2027 01:32:12,543,3.63,4.3,00:37,0,258,34,171,118,0.27,13.71,1.26,1.26,5.13,1.47,0,122,21.1,1024.5,113.2,180.0,-180.0,94.6,112.5,12.3,33.9,4.9,115,31
44C06,I,04-Nov.-2027 04:06:49,1292,3.63,4.1,20:45,-1,106,51,131,-121,0.42,18.71,2.59,2.59,17.82,1.49,0,122,43.2,1045.6,206.1,0.0,0.3,112.7,98.0,16.1,40.7,3.4,110,111
46C07,O,17-Dec.-2027 09:03:01,2772,3.63,4.0,20:45,-29,257,89,125,115,2.37,15.19,1.59,1.54,10.62,1.50,0,122,26.6,1088.9,55.2,-179.6,174.9,97.8,107.3,13.8,35.7,5.0,-156,151
48G06,I,12-Jan.-2028 23:40:26,4657,3.2,3.6,20:13,-29,52,115,118,-36,0.74,19.36,3.13,1.39,11.35,1.51,0,122,22.4,1115.5,248.3,-10.3,-3.1,58.3,46.1,14.2,44.0,4.2,40,221
49C08,O,04-Feb.-2028 08:29:36,5644,4.37,4.6,18:58,0,258,138,105,116,0.78,16.69,1.00,1.00,12.63,1.52,0,122,16.7,1137.8,27.6,178.3,178.3,100.4,105.5,12.8,39.9,3.7,164,331
