Flyby,I/O,Date ET,ALT (km),v∞ (km/s),v (km/s),LST (deg),LAT (deg),LON,SEP (deg),PHS (deg),TRA (deg),INC (deg),PER (days),n,m,dTID (krad),TID (mrad),dΔV (m/s),ΔV (m/s),dTOF (days),TOF (days),SJB (deg),κ⁻ (deg),κ⁺ (deg),α⁻ (deg),α⁺ (deg),RP (R_J),RA (R_J),ECLIP (h),ETRA (deg),SIIILON (deg)
50C09,O,21-Feb.-2028 00:23:48,176,4.38,5.0,18:12,1,248,157,93,134,0.71,11.95,1.25,1.54,13.51,1.54,0,122,20.9,1154.5,25.8,178.3,178.5,105.5,120.0,9.1,33.1,2.7,65,225
52E27,I,12-March-2028 21:45:26,383,4.03,4.4,16:50,-28,32,178,74,-19,0.49,14.3,4.10,1.10,68.16,1.60,0,122,14.6,1175.4,219.4,-8.0,0.4,37.3,27.7,9.2,38.4,2.4,38,235
53E28,O,27-March-2028 11:09:09,148,4.16,4.6,03:08,-19,152,163,129,17,1.32,17.75,5.00,1.00,57.31,1.66,13,135,17.8,1189.9,254.5,179.4,169.5,32.9,22.7,9.3,45.6,2.2,84,197
54E29,O,14-April-2028 05:18:42,26,4.16,4.6,15:06,16,333,144,50,17,0.51,14.13,3.89,0.89,42.89,1.70,0,135,13.8,1207.7,253.2,170.1,179.7,21.0,32.2,9.2,38.0,2.4,98,220
55E30,I,28-April-2028 00:28:50,26,4.26,4.7,16:01,6,29,130,61,-17,0.24,17.79,5.02,1.02,33.66,1.74,29,164,17.8,1221.5,211.0,0.4,-2.1,35.8,24.4,9.2,45.7,2.3,68,46
56E31,I,15-May-2028 20:04:52,27,4.05,4.5,14:22,-61,359,112,65,-5,2.99,17.78,5.01,1.01,44.83,1.78,6,170,17.8,1239.3,215.9,0.4,56.2,13.6,13.5,9.4,45.6,1.7,86,23
57E32,O,02-June-2028 15:16:52,126,4.04,4.5,14:33,35,359,96,52,4,1.42,17.79,5.01,1.01,42.88,1.83,0,170,17.8,1257.1,218.9,92.4,157.6,11.2,11.1,9.4,45.6,2.1,105,11
58E33,O,20-June-2028 10:27:47,246,4.13,4.5,04:47,88,210,80,93,12,1.19,17.76,5.00,1.00,43.14,1.87,4,174,17.8,1274.9,221.9,166.9,-159.1,18.5,19.0,9.4,45.5,2.3,121,1
59E34,O,08-July-2028 04:52:24,27,4.17,4.6,02:48,56,180,65,117,11,3.49,17.77,5.00,1.00,42.31,1.91,0,174,17.7,1292.7,221.5,-161.2,-127.6,20.9,21.2,9.4,45.5,2.4,137,15
60E35,O,25-July-2028 22:42:24,25,4.14,4.6,02:35,19,179,51,139,4,4.24,17.77,5.00,1.00,40.76,1.95,0,174,17.8,1310.4,218.7,-125.1,-89.3,19.9,20.2,9.5,45.4,2.5,148,47
61E36,I,12-Aug.-2028 16:59:55,25,4.15,4.6,02:29,-14,179,37,139,-2,3.54,17.77,5.00,1.00,40.48,1.99,0,175,17.8,1328.2,217.7,-93.7,-58.2,20.2,20.1,9.5,45.4,2.5,163,65
62E37,I,30-Aug.-2028 11:18:38,27,4.14,4.6,02:23,-48,178,24,121,-8,1.42,17.77,5.00,1.00,40.77,2.03,1,175,17.8,1345.9,216.9,-62.1,-24.6,19.3,19.0,9.4,45.5,2.5,177,82
63E38,I,17-Sept.-2028 05:24:09,27,4.13,4.6,03:29,-52,196,10,110,-13,0.83,15.99,9.06,2.06,41.24,2.07,3,178,32.2,1363.7,215.0,-24.5,4.2,19.0,25.0,9.4,41.8,2.2,-169,107
65E39,O,19-Oct.-2028 10:08:02,575,4.01,4.4,14:19,16,337,15,39,12,0.39,14.14,3.91,0.91,93.4,2.17,0,178,13.9,1395.9,235.8,173.6,-178.1,16.9,26.2,9.3,37.9,2.3,-121,181
66E40,I,02-Nov.-2028 07:25:42,78,4.03,4.5,13:54,72,4,26,77,-16,2.45,14.21,4.00,1.00,34.96,2.20,3,181,14.2,1409.8,202.9,-1.4,-28.4,27.8,27.0,9.3,38.0,2.4,-143,300
67E41,I,16-Nov.-2028 12:23:57,77,4.02,4.5,13:33,45,359,37,52,-12,4.49,14.21,4.00,1.00,44.63,2.25,3,184,14.2,1424.0,201.9,-29.1,-57.4,26.5,26.1,9.4,37.9,2.4,-133,172
68E42,I,30-Nov.-2028 17:22:29,75,4.01,4.5,13:26,16,358,49,29,-5,5.3,14.22,4.00,1.00,43.22,2.29,2,187,14.2,1438.2,200.9,-58.7,-87.6,25.8,25.7,9.4,37.9,2.4,-122,44
69E43,O,14-Dec.-2028 22:20:36,75,4.00,4.5,13:20,-13,358,61,22,2,4.67,14.21,4.00,1.00,42.47,2.33,3,189,14.2,1452.4,200.0,-89.0,-117.9,25.7,25.9,9.4,37.9,2.3,-112,277
70E44,O,29-Dec.-2028 03:17:56,76,4.01,4.5,13:13,-42,357,73,42,9,2.77,14.24,4.00,1.00,43.29,2.38,0,190,14.2,1466.6,199.0,-118.9,-147.2,26.2,26.6,9.3,38.1,2.2,-101,149
71E45,O,12-Jan.-2029 08:09:09,28,4.00,4.5,12:43,-65,351,86,63,14,0.1,14.02,4.19,1.21,44.53,2.42,0,190,14.9,1480.8,197.6,-147.0,-175.0,26.6,28.1,9.3,37.6,2.0,-91,26
72G07,O,27-Jan.-2029 05:24:04,1142,6.64,7.0,00:19,7,90,100,174,84,0.46,20.18,2.57,0.57,61.48,2.48,0,190,18.4,1495.7,272.3,-179.9,-179.1,90.6,84.2,10.3,49.5,0.0,-12,103
73G08,I,14-Feb.-2029 13:43:49,600,6.6,7.1,07:02,87,349,119,92,-78,3.92,19.88,5.00,1.00,1.96,2.48,0,190,NaN,1514.0,114.4,0.7,-6.9,83.9,84.0,10.3,48.9,0.0,61,175
